Data_Set,Data Type,Parameter,Value
Duck_8_4.ld,r2GLS,lam,-2.0893300267615664e-07
Duck_8_5.ld,r2GLS,AIC,-494210586.03905505
Duck_8_5.ld,r2GLS,init,0.085611885030461438
Duck_8_5.ld,r2GLS,lam,-1.9909933666583892e-07
Duck_8_6.ld,r2GLS,AIC,-494662944.616005
Duck_8_6.ld,r2GLS,init,0.084994577710122143
Duck_8_6.ld,r2GLS,lam,-1.976117163987274e-07
Duck_8_7.ld,r2GLS,AIC,-493290401.99556303
Duck_8_7.ld,r2GLS,init,0.085122803132205313
Duck_8_7.ld,r2GLS,lam,-1.9634643722212976e-07
Duck_8_8.ld,r2GLS,AIC,-494660080.29739445
Duck_8_8.ld,r2GLS,init,0.085153031927189524
Duck_8_8.ld,r2GLS,lam,-2.0194344100928156e-07
Duck_8_9.ld,r2GLS,AIC,-495045777.67226714
Duck_8_9.ld,r2GLS,init,0.085318197927997233
Duck_8_9.ld,r2GLS,lam,-1.9873310002654342e-07
Duck_9_10.ld,r2GLS,AIC,-494846572.3931253
Duck_9_10.ld,r2GLS,init,0.084997974227258105
Duck_9_10.ld,r2GLS,lam,-1.9848178311999233e-07
Duck_9_1.ld,r2GLS,AIC,-493554950.64904106
Duck_9_1.ld,r2GLS,init,0.085333142376705584
Duck_9_1.ld,r2GLS,lam,-2.1186272224571957e-07
Duck_9_2.ld,r2GLS,AIC,-494375391.54823971
Duck_9_2.ld,r2GLS,init,0.085078341701550167
Duck_9_2.ld,r2GLS,lam,-1.9259232438600958e-07
Duck_9_3.ld,r2GLS,AIC,-494810095.97328246
Duck_9_3.ld,r2GLS,init,0.08453183783947546
Duck_9_3.ld,r2GLS,lam,-1.8261741743613295e-07
Duck_9_4.ld,r2GLS,AIC,-493636563.76711208
Duck_9_4.ld,r2GLS,init,0.085247036967172271
Duck_9_4.ld,r2GLS,lam,-1.8850805496726585e-07
Duck_9_5.ld,r2GLS,AIC,-494415302.40330827
Duck_9_5.ld,r2GLS,init,0.084805938788825266
Duck_9_5.ld,r2GLS,lam,-1.9797235495115482e-07
Duck_9_6.ld,r2GLS,AIC,-494444189.94274056
Duck_9_6.ld,r2GLS,init,0.08494750433399266
Duck_9_6.ld,r2GLS,lam,-1.9569436805373735e-07
Duck_9_7.ld,r2GLS,AIC,-493286926.99758637
Duck_9_7.ld,r2GLS,init,0.085440874898879832
Duck_9_7.ld,r2GLS,lam,-2.01557763062067e-07
Duck_9_8.ld,r2GLS,AIC,-493558479.18798119
Duck_9_8.ld,r2GLS,init,0.085695962524905189
Duck_9_8.ld,r2GLS,lam,-1.9840075210414461e-07
Duck_9_9.ld,r2GLS,AIC,-494105040.17147291
Duck_9_9.ld,r2GLS,init,0.085134703026988182
Duck_9_9.ld,r2GLS,lam,-1.9197443504828976e-07
